id,table_name,primary_id,desc,date_created,session_id,terminal_session_id,created_on,modified_on
70838,order_checks,18678,Receipt,"2025-06-24 19:23:26",267,268,"2025-06-24 19:23:26","2025-06-24 19:23:26"
70837,order_checks,18677,Receipt,"2025-06-24 19:21:34",267,268,"2025-06-24 19:21:34","2025-06-24 19:21:34"
70836,order_checks,18687,Receipt,"2025-06-24 19:16:18",267,268,"2025-06-24 19:16:18","2025-06-24 19:16:18"
70835,order_checks,18679,Receipt,"2025-06-24 19:15:50",267,268,"2025-06-24 19:15:50","2025-06-24 19:15:50"
70834,order_checks,18675,Receipt,"2025-06-24 19:15:18",267,268,"2025-06-24 19:15:18","2025-06-24 19:15:18"
70833,order_checks,18675,Receipt,"2025-06-24 19:15:13",267,268,"2025-06-24 19:15:13","2025-06-24 19:15:13"
70832,order_checks,18682,Receipt,"2025-06-24 19:11:15",267,268,"2025-06-24 19:11:15","2025-06-24 19:11:15"
70831,order_checks,18686,Receipt,"2025-06-24 19:10:58",267,268,"2025-06-24 19:10:58","2025-06-24 19:10:58"
70830,order_checks,18685,Receipt,"2025-06-24 19:10:25",267,268,"2025-06-24 19:10:25","2025-06-24 19:10:25"
70829,order_checks,18669,Receipt,"2025-06-24 19:06:07",267,268,"2025-06-24 19:06:07","2025-06-24 19:06:07"
70828,order_checks,18672,Receipt,"2025-06-24 19:05:22",267,268,"2025-06-24 19:05:22","2025-06-24 19:05:22"
70827,order_checks,18671,Receipt,"2025-06-24 19:04:47",267,268,"2025-06-24 19:04:47","2025-06-24 19:04:47"
70826,order_checks,18684,Receipt,"2025-06-24 19:01:44",267,268,"2025-06-24 19:01:44","2025-06-24 19:01:44"
